Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
video,$167.25,18,335,0.00,"(video production kansas city, video mania kansas city, kansas city video production)"
production,$115.82,14,263,0.00,"(video production kansas city, kansas city video production, video production)"
kansas,$77.76,9,182,0.00,"(videographer kansas city, video production kansas city, kansas city videographer)"
kansas city,$77.76,9,181,0.00,"(videographer kansas city, video production kansas city, kansas city videographer)"
videographer,$49.71,5,116,0.00,"(videographer, videographer kansas city, kansas city videographer)"
near me,$79.58,8,107,0.00,"(recording studios near me, music video production near me, videographer near me)"
productions,$28.35,5,93,0.00,"(epic productions, east coast productions, blue moon productions)"
companies,$43.45,5,86,0.00,"(production companies kansas city, kansas city video production companies, kansas city production companies)"
film,$12.50,2,43,0.00,"(kansas city film production companies, black and white film processing labs near me, film production companies)"
motion,$14.87,2,36,0.00,"(motion array, motion graphics, michigan motion picture studios)"
company,$8.38,2,35,0.00,"(production company, drone video production company, multimedia company)"
media,$60.19,4,35,0.00,"(something different media group, streaming media, real media kc)"
graphic,$0.00,0,33,0.00,"(graphic design, graphic design near me, 3d motion graphic design)"
studio,$4.64,1,33,0.00,"(recording studio, home video studio, phosphor studio)"
live,$2.12,1,32,0.00,"(live stream, live streaming, live streamer)"
design,$0.00,0,29,0.00,"(graphic design, graphic design near me, 3d motion graphic design)"
music video,$13.33,2,28,0.00,"(music video production near me, music video production kansas city, low budget music video cost)"
studios,$7.63,2,24,0.00,"(recording studios near me, christian movie studios, film studios in kansas city)"
recording,$0.00,0,24,0.00,"(recording studio, recording studios near me, video recording service near me)"
streaming,$0.00,0,23,0.00,"(streaming media, live streaming, live streaming services)"
videography,$0.00,0,22,0.00,"(videography as a hobby, kansas city videography, principles of videography)"
services,$57.28,3,21,0.00,"(video services near me, video transfer services near me, gateway studios and production services)"
to,$0.00,0,19,0.00,"(vhs to digital service near me, a to z video kansas city, how much to shoot a commercial)"
a,$0.00,0,18,0.00,"(videography as a hobby, a to z video kansas city, how much to shoot a commercial)"
graphics,$0.00,0,18,0.00,"(motion graphics, broadcast graphics package, creating motion graphics)"
in,$16.54,2,17,0.00,"(videographers in kansas city, film studios in kansas city, production companies in kansas city)"
mania,$0.00,0,17,0.00,(video mania kansas city)
